"extract_date","tx_incid","R","taux_occupation_sae","tx_pos"
"2020-06-29",5.42469299674669,0.97,11.7,1.44168849542092
"2020-06-30",5.51266905139431,0.99,11.3,1.40989558306447
"2020-07-01",5.45600650772296,1.01,11,1.34301843301058
"2020-07-02",5.57976943205776,1.03,10.8,1.30650494216394
"2020-07-03",5.83027751986794,1.04,10.5,1.31115217077841
"2020-07-04",5.84966207428182,1.05,10.2,1.29828869466222
"2020-07-05",5.68265668240837,1.07,10.3,1.2603221741963
"2020-07-06",5.69011228025986,1.08,10.3,1.24405844727422
"2020-07-07",5.46793546428535,1.09,10.1,1.17362026807318
"2020-07-08",5.57529607334686,1.1,9.9,1.17078639019533
"2020-07-09",5.74528370436091,1.12,9.6,1.16247495836451
"2020-07-10",5.89737790053138,1.13,9.3,1.15471081136317
"2020-07-11",5.89737790053138,1.15,9.3,1.14450579342756
"2020-07-12",5.91676245494526,1.16,9.4,1.14818137098874
"2020-07-13",6.2134952494347,1.17,9.2,1.16823150440295
"2020-07-14",5.63195861701821,1.19,9.2,1.2263424992451
"2020-07-15",5.85115319385212,1.21,9,1.22483378593501
"2020-07-16",6.24779099955158,1.24,9,1.25659412009921
"2020-07-17",6.41032303271413,1.26,8.9,1.23516026340892
"2020-07-18",6.55048827232221,1.3,8.9,1.23768094709499
"2020-07-19",6.66083112052432,1.33,8.9,1.24782113167069
"2020-07-20",6.89344577349092,1.36,8.7,1.25174982332538
"2020-07-21",8.25036458246274,1.39,8.5,1.26260782255488
"2020-07-22",8.71857612753653,1.41,8.3,1.31065741338498
"2020-07-23",8.96461085663582,1.42,8.1,1.33898146539628
"2020-07-24",9.42536680385812,1.42,7.6,1.40476656117768
"2020-07-25",9.68929496780099,1.42,7.3,1.43739437429767
"2020-07-26",9.79516445729219,1.41,7.3,1.44493667266432
"2020-07-27",10.378192209279,1.4,7.4,1.50375939849624
"2020-07-28",10.7733388954081,1.39,7.1,1.51918163945457
"2020-07-29",11.2176925273572,1.38,7,1.52724910421552
"2020-07-30",11.8245781924687,1.37,7.1,1.56307900940607
"2020-07-31",12.3569078790654,1.37,6.9,1.59731846332066
"2020-08-01",12.6074159668756,1.36,6.8,1.61766787967842
"2020-08-02",12.5910136516023,1.36,6.8,1.61180411731582
"2020-08-03",13.4752475567894,1.36,7.1,1.70024063381328
"2020-08-04",14.4429841579133,1.36,7.2,1.81948650131117
"2020-08-05",15.1781061060705,1.36,7.1,1.92195492214185
"2020-08-06",16.0861979243824,1.36,7.2,2.02642162267759
"2020-08-07",17.0763013190608,1.36,7.1,2.1476056971936
"2020-08-08",17.3924186679641,1.36,7.2,2.18293292309765
"2020-08-09",17.6772225058912,1.37,7.3,2.21724306258218
"2020-08-10",18.8686270425598,1.37,7.4,2.35989630928181
"2020-08-11",19.8900439482144,1.38,7.3,2.49757526054247
"2020-08-12",21.2767851485922,1.39,7,2.66397077081338
"2020-08-13",23.3390035143153,1.41,6.9,2.87857638103435
"2020-08-14",25.7069013919497,1.42,6.8,3.07609407423664
"2020-08-15",25.3505238146483,1.44,7,3.14791361151846
"2020-08-16",25.7203214680824,1.45,7,3.16939127622708
"2020-08-17",28.9888555661771,1.47,7.1,3.38119048654289
"2020-08-18",32.008372696032,1.48,7.1,3.5300753672571
"2020-08-19",34.9160558581145,1.49,7.2,3.68317984129106
"2020-08-20",37.2660603009052,1.49,7.3,3.77529502045354
"2020-08-21",39.126977524638,1.49,7.3,3.81182595760506
"2020-08-22",41.3174321734068,1.49,7.3,3.82202065427741
"2020-08-23",41.7886259576212,1.47,7.3,3.86011839992066
"2020-08-24",44.7097291958364,1.46,7.7,3.98704847513746
"2020-08-25",47.7873999889329,1.45,7.9,4.12157408943538
"2020-08-26",50.5116754438686,1.44,7.4,4.19482306205366
"2020-08-27",53.9099369445794,1.43,7.4,4.29674826217842
"2020-08-28",57.5944934027875,1.42,7.5,4.43378423053612
"2020-08-29",58.7530933089096,1.4,7.8,4.4582787391632
"2020-08-30",59.2168314952725,1.39,7.8,4.47606595809429
"2020-08-31",62.9461215405896,1.38,8,4.62612587437111
"2020-09-01",66.0193189749752,1.37,8.3,4.78056375560657
"2020-09-02",69.5965148241218,1.36,8.7,4.98746561860859
"2020-09-03",73.1245037274485,1.35,9.1,5.21202549471198
"2020-09-04",76.8239713813596,1.34,9.2,5.40683207977441
"2020-09-05",78.3672801366188,1.33,9.4,5.47663707223542
"2020-09-06",78.5939303113042,1.32,9.5,5.49257364610894
"2020-09-07",82.7377515971643,1.31,10.5,5.66467863027628
"2020-09-08",86.9188508722818,1.3,11.2,5.72582894907449
"2020-09-09",90.2872899815866,1.28,11.7,5.74742647233309
"2020-09-10",93.6855514822974,1.27,12,5.73793922235668
"2020-09-11",95.4689304883746,1.26,12.4,5.65644839534444
"2020-09-12",96.1369520558684,1.25,12.9,5.66072524502767
"2020-09-13",96.2771172954765,1.23,13.1,5.66725679562608
"2020-09-14",99.9512359166925,1.22,13.9,5.75739096078196
"2020-09-15",102.714280480456,1.21,14.9,5.81972406917702
"2020-09-16",105.857560534646,1.2,15.7,5.96148613924242
"2020-09-17",108.355185814896,1.19,15.7,6.15173495061139
"2020-09-18",111.297164727095,1.18,16.2,6.41965115078956
"2020-09-19",112.357350741578,1.16,16.4,6.52836704617621
"2020-09-20",112.712237199309,1.14,16.5,6.54934471028795
"2020-09-21",114.051262573437,1.12,18,6.82200895485114
"2020-09-22",115.06522388124,1.1,18.7,7.17262084574594
"2020-09-23",114.342030889645,1.08,19.7,7.43309132150093
"2020-09-24",112.853893558487,1.06,20.6,7.64032602923926
"2020-09-25",111.395578618735,1.04,21.6,7.82354351876191
"2020-09-26",110.782728475342,1.02,21.8,7.86600840438451
"2020-09-27",110.162422734098,1.01,22,7.87022685266561
"2020-09-28",107.347188985374,1,22.9,7.88032234547711
"2020-09-29",105.249183749964,1,23.7,7.93990402462153
"2020-09-30",105.809844708396,1.02,24.4,8.13610315514778
"2020-10-01",108.650427489815,1.04,24.9,8.48819992847382
"2020-10-02",114.491142846675,1.07,25.1,9.00109023129315
"2020-10-03",118.083249891525,1.1,25.5,9.2537282039417
"2020-10-04",118.964501557571,1.15,26.4,9.31190722407543
"2020-10-05",130.453577846723,1.19,27.9,10.0738784092191
"2020-10-06",140.693095935964,1.24,28,10.6985329968002
"2020-10-07",151.685629408206,1.28,27.8,11.3085934460272
"2020-10-08",163.441616100441,1.32,28,11.8209377591661
"2020-10-09",175.151378085997,1.35,28.4,12.1936736941652
"2020-10-10",181.247074889378,1.37,28.8,12.3839302634072
"2020-10-11",183.076678602134,1.38,29.3,12.4448345695931
"2020-10-12",198.321885088868,1.39,30.4,12.9288070876016
"2020-10-13",211.588375905816,1.4,32.3,13.2733735559609
"2020-10-14",223.600835164142,1.4,32.9,13.444972043998
"2020-10-15",237.724719734012,1.41,34.4,13.6978192022243
"2020-10-16",251.897811249701,1.41,35.4,13.9837772555434
"2020-10-17",257.802644748084,1.42,36.9,14.0969464715235
"2020-10-18",259.994590516423,1.42,38.3,14.148981319112
"2020-10-19",280.05014873694,1.44,41.3,14.7934018396838
"2020-10-20",303.298193957468,1.45,42.9,15.6565252263389
"2020-10-21",329.680572514763,1.46,44.3,16.6130171468073
"2020-10-22",357.543632805364,1.47,45.7,17.5745066968441
"2020-10-23",389.510254153428,1.47,48.1,18.5704150155761
"2020-10-24",404.060598920403,1.46,49.2,19.0284051848538
"2020-10-25",407.93900092275,1.45,50.9,19.1518897841747
"2020-10-26",442.767080726216,1.43,54.6,20.0521739012991
"2020-10-27",468.199616117231,1.4,57.5,20.588248793688
"2020-10-28",483.432893647403,1.37,60,20.8631144476398
"2020-10-29",491.218028923932,1.33,62.2,20.9943057799361
"2020-10-30",496.014960581583,1.29,66.6,21.0596489362106
"2020-10-31",497.686505619888,1.25,68.1,21.0516522891993
"2020-11-01",497.09602227005,1.21,70.6,21.0403974166153
"2020-11-02",498.69599356898,1.16,73.6,21.0657727488602
"2020-11-03",494.910040979992,1.12,76.5,20.9620282904173
"2020-11-04",484.414050324659,1.07,80.7,20.7555583950933
"2020-11-05",469.431280882298,1.03,83.5,20.3536207072673
"2020-11-06",446.620133695868,0.98,85.4,19.8432915271822
"2020-11-07",432.247232157759,0.93,87.2,19.5895983835326
"2020-11-08",427.90956532776,NA,89.5,19.5405413870916
"2020-11-09",NA,NA,92.5,NA
"2020-11-10",NA,NA,93.6,NA
"2020-11-11",NA,NA,94.7,NA
